section,metric,estimate,valid_resamples,min,p2.5,p50,p97.5,max,direction_probability
BOOTSTRAP,NONLOSS_AUC,0.692307692308,19988,0,0.318181818182,0.694444444444,0.93265993266,1,0.839953972383
BOOTSTRAP,PAIR_CONCORDANCE,0.928571428571,19520,0,0,0.928571428571,1,1,0.799282786885
BOOTSTRAP,BOTTOM_HALF_LOSS_CAPTURE,0.75,19990,0,0,0.5,0.888888888889,1,0.344622311156
BOOTSTRAP,BOTTOM_HALF_WINNER_REMOVAL,0.5,19928,0,0,0.4,0.8,1,0.557055399438
BOOTSTRAP,BOTTOM_HALF_SELECTIVITY_GAP,0.25,19918,-1,-0.666666666667,0.1,0.7,1,0.585098905513
BOOTSTRAP,WORST_ONE_SELECTIVITY_GAP,0,19918,-1,-0.666666666667,-0.05,0.444444444444,0.833333333333,0.387036851089
LODO,NONLOSS_AUC,0.692307692308,8,0.535714285714,0.560425824176,0.681944444444,0.801022727273,0.816666666667,1
LODO,PAIR_CONCORDANCE,0.928571428571,8,0.5,0.574038461538,0.928571428571,0.9875,1,0.875
LODO,BOTTOM_HALF_LOSS_CAPTURE,0.75,8,0.5,0.529166666667,0.75,0.95625,1,0.875
LODO,BOTTOM_HALF_WINNER_REMOVAL,0.5,8,0.333333333333,0.3625,0.5,0.6375,0.666666666667,0.125
LODO,BOTTOM_HALF_SELECTIVITY_GAP,0.25,8,-0.166666666667,-0.108333333333,0.25,0.485416666667,0.5,0.875
LODO,WORST_ONE_SELECTIVITY_GAP,0,8,-0.166666666667,-0.166666666667,0,0.166666666667,0.166666666667,0.25
